school,group,Location,year_founded,Latitude,Longitude,n_block_groups,total_pop,PM2.5 [raw]_pct_usa,PM2.5 [EJindex]_pct_usa,Particulate Matter Summary Index_pct_usa,Ozone [raw]_pct_usa,Ozone [EJindex]_pct_usa,Ozone Summary Index_pct_usa,NO2 [raw]_pct_usa,NO2 [EJindex]_pct_usa,Nitrogen Dioxide (NO2) Summary Index_pct_usa,Diesel PM [raw]_pct_usa,Diesel PM [EJindex]_pct_usa,Diesel Particulate Matter Summary Index_pct_usa,Toxic Air [raw]_pct_usa,Toxic Air [EJindex]_pct_usa,Toxic Releases to Air Summary Index_pct_usa,Traffic [raw]_pct_usa,Traffic [EJindex]_pct_usa,Traffic Proximity and Volume Summary Index_pct_usa,Lead Paint [raw]_pct_usa,Lead Paint [EJindex]_pct_usa,Lead Paint Summary Index_pct_usa,Superfund [raw]_pct_usa,Superfund [EJindex]_pct_usa,Superfund Proximity Summary Index_pct_usa,RMP [raw]_pct_usa,RMP [EJindex]_pct_usa,RMP Proximity Summary Index_pct_usa,Hazardous Waste [raw]_pct_usa,Hazardous Waste [EJindex]_pct_usa,Hazardous Waste Proximity Summary Index_pct_usa,UST [raw]_pct_usa,UST [EJindex]_pct_usa,Underground Storage Tanks Summary Index_pct_usa,Wastewater [raw]_pct_usa,Wastewater [EJindex]_pct_usa,Wastewater Discharge Summary Index_pct_usa,Drinking Water [raw]_pct_usa,Drinking Water [EJindex]_pct_usa,Drinking Water Non-Compliance Summary Index_pct_usa,burden_score,state_abbr,region,treat,distance,weights,subclass
Bishop State Community College,HBCU,"Mobile, AL",1927,30.6944,-88.0431,26,20078,87,86.912,90.5429,20.5107,46.9208,31.7683,52.4274,71.5553,70.163,80.3454,84.2798,87.7997,72.9476,83.8355,84.0904,70.0664,80.8145,83.5328,73.0049,81.4683,79.1846,0,0,0,78.3115,83.7977,85.0748,71.6802,81.5779,83.884,74.9246,80.8312,81.2924,85.0638,86.9088,89.302,90.9094,93.2611,93.1912,73.83277692307693,AL,South,1,0.5433415497341059,1,11
Bluefield State College,HBCU,"Bluefield, WV",1895,37.2678,-81.222,17,18978,7.8887,16.343,14.3216,13.718,25.3281,23.3363,23.8434,38.4613,41.5433,11.9539,23.3775,20.5749,6.9009,12.4697,11.9139,23.6095,38.389,41.7785,70.4479,69.118,83.166,0,0,0,44.4088,57.7229,66.6535,2.4521,4.7909,5.1874,59.7053,65.9792,77.4406,63.1988,67.5442,81.9106,59.2088,61.2887,66.8825,41.131469230769234,WV,South,1,0.490533820812574,1,12
Bowie State University,HBCU,"Bowie, MD",1865,38.9569,-76.7422,28,47223,10.5677,20.2846,7.997,48.6231,61.3283,36.1034,34.0082,47.6026,26.4496,67.5454,69.0562,51.3402,27.1719,41.5571,20.4002,49.0271,58.3802,37.528,21.1353,31.225,17.9637,61.4787,65.1314,54.6126,20.7536,31.5226,18.6148,35.343,49.4733,26.8271,38.8496,47.0685,30.9194,45.2312,57.6578,33.6941,0,0,0,27.88077692307692,MD,Northeast,1,0.665321979418768,1,13
Central State University,HBCU,"Wilberforce, OH",1887,39.7122,-83.8825,9,13194,61.5894,50.0001,62.8261,62.5388,51.8439,65.4549,49.9845,44.2962,54.0661,33.1842,34.4206,38.3172,70.0915,54.8481,69.1231,20.7744,23.9119,23.5603,62.0995,50.4695,60.4967,2.1774,2.3718,2.7217,54.1013,49.9814,56.9416,37.9331,38.5401,43.8531,35.7762,41.3975,41.2434,49.8205,44.3031,53.348,19.1501,18.9046,18.6591,45.431638461538455,OH,Midwest,1,0.35667875897987245,1,14
Charles R. Drew University of Medicine and Science,HBCU,"Los Angeles, CA",1966,33.9886,-118.3087,179,245193,95.3708,96.321,94.9949,94.2229,96.4393,95.1536,90.5126,94.1117,92.39,96.5052,95.9544,94.6693,68.1965,90.6275,86.1338,96.4852,95.8483,94.4738,84.6426,94.4065,91.4821,13.1373,17.1175,17.0464,92.957,94.5815,92.5214,96.4301,96.0649,94.6133,0,0,0,64.5754,88.5981,83.9006,0,0,0,72.10609230769231,CA,West,1,0.566576526294736,1,15
Cheyney University of Pennsylvania,HBCU,"Cheyney, PA",1837,39.9257,-75.5205,17,22823,61.1421,34.0624,36.7917,48.2536,28.7421,29.0208,31.4878,21.3686,19.4011,53.3929,31.6007,33.474,74.5009,38.6979,44.6623,54.2365,31.5051,33.8523,42.5785,24.996,25.5952,27.305,24.088,24.2474,59.2979,40.5392,39.5551,49.0248,31.493,30.6375,26.2349,19.2866,17.6227,65.7565,35.5769,39.3235,0,0,0,28.783353846153847,PA,Northeast,1,0.6229032652350067,1,16
Claflin University,HBCU,"Orangeburg, SC",1869,33.4963,-80.8559,26,25068,34.3798,67.8715,49.7887,2.6089,9.4895,3.3702,27.0625,57.685,40.9538,33.3959,65.7764,50.6421,69.5684,88.1879,80.4252,33.7818,65.8354,51.0556,47.098,70.5201,58.1923,0,0,0,76.3064,88.3727,82.0474,30.6792,63.7771,46.7834,71.7418,84.8728,76.8124,28.9518,63.1456,42.9674,0,0,0,44.84911538461539,SC,South,1,0.4477285764764165,1,17
Clark Atlanta University,HBCU,"Atlanta, GA",1988,33.7489,-84.3881,102,123981,82.8793,81.2536,73.9455,39.6565,62.1606,45.2509,86.9439,80.7137,75.0319,91.2441,82.9578,78.3525,43.9728,65.1519,49.4912,94.4151,83.0688,79.0637,44.288,53.8517,43.1534,78.1729,84.0644,77.6572,85.3216,81.2513,73.7026,68.4212,75.7052,67.4557,82.8538,81.0434,72.6968,62.4325,71.4962,60.6524,0,0,0,61.2656769230769,GA,South,1,0.6404462307255313,1,18
Clinton College,HBCU,"Rock Hill, SC",1894,34.9249,-81.0251,33,46902,32.0153,53.3935,42.4956,16.8972,36.437,22.3982,35.0174,54.2615,47.3738,53.5447,67.7633,66.2324,86.6654,83.8907,85.0244,44.1701,61.9867,58.1362,43.8791,58.9493,50.9959,72.5355,82.1917,81.5211,67.5828,75.3052,73.8518,61.6127,72.1609,71.899,79.6364,78.3727,78.1395,75.4389,79.729,80.0229,3.4584,3.5987,3.6454,58.59509230769231,SC,South,1,0.4888808384626575,1,19
Coahoma Community College,HBCU,"Clarksdale, MS",1949,34.1975,-90.5709,19,17264,59.4663,84.628,82.0188,23.9571,58.6588,41.6376,34.3073,63.1171,54.4586,21.6822,53.2228,39.202,40.0546,70.498,60.2034,22.0918,53.5235,40.1025,59.7505,81.014,74.8866,0,0,0,0,0,0,0,0,0,54.0031,72.2224,67.4069,24.5662,58.498,42.3924,22.8813,25.0016,24.524,40.525600000000004,MS,South,1,0.5791601393545953,1,20
